DAL,UAL,AAL
7.411406,10.69,5.966105
7.420825,11.03,5.869566
6.592103,8.56,4.730407
6.610937,7.53,4.257365
6.422591,7.67,4.324943
6.921708,8.85,4.933139
7.901106,11.04,5.657179
7.929357,11.03,5.695795
8.29663,11.25,5.753718
7.496163,8.94,4.942792
7.976446,9.64,5.792335
8.230712,9.92,5.956451
8.362552,10.43,6.419837
9.756312,11.76,7.211454
10.377853,12.1,7.616919
10.236593,10.52,6.583953
10.359017,10.36,7.04734
9.38904,9.43,6.294336
9.888153,9.94,6.448798
10.010576,9.52,6.13022
10.52853,10.22,6.902531
10.359017,10.6,7.114917
10.368438,11.01,7.114917
9.954075,11.09,7.182494
9.65272,10.67,7.076301
9.671555,10.37,6.989417
9.859903,10.58,7.385225
9.982328,10.52,7.17284
10.151836,10.57,7.163185
10.283679,10.74,7.26938
10.792214,11.02,7.462457
11.423172,11.87,8.099614
11.25366,11.45,8.04169
11.658605,12.06,8.746426
11.187741,12.06,8.765733
11.507928,12.77,9.238773
11.074734,12.24,8.6885
10.641537,11.65,8.244421
10.46261,11.04,7.983767
9.690391,10.27,7.134224
10.330767,11.14,7.288687
10.763962,11.95,8.234768
10.396688,11.62,7.365917
9.511462,10.91,7.279033
9.963493,11.45,7.385225
9.66214,11.83,7.549342
9.351369,12.11,7.433495
7.46791,11.04,6.47776
8.230712,11.72,7.04734
7.552667,10.5,6.246067
6.497929,9.44,5.473756
6.658023,9.08,5.522025
6.497929,8.97,5.570295
6.130655,8.54,5.280677
6.14949,8.58,5.03933
6.912291,8.94,5.280677
6.874621,8.89,5.222754
6.441427,8.23,4.884868
6.092987,7.53,4.421481
6.56385,7.87,4.56629
6.695693,7.99,4.585598
5.979979,7.47,4.26702
5.377273,6.36,3.649171
5.396107,6.07,3.4754
5.236013,5.42,3.012013
5.377273,6.48,3.427131
5.603287,6.72,3.533324
5.377273,6.3,3.185784
5.358437,5.99,3.137514
4.736896,4.91,2.751359
4.322536,4.26,2.384511
4.011765,3.94,2.220395
4.200111,4.22,2.287971
3.700995,3.66,1.901816
3.823419,3.94,2.08524
3.945845,3.84,1.940432
4.463794,4.5,2.30728
4.520298,5.1,2.500357
5.019415,5.59,2.703089
5.480863,6.07,3.031322
5.217177,5.44,2.703089
5.791633,5.78,2.925129
5.716295,6.02,3.108552
5.057084,5.19,2.587243
4.727479,4.48,2.278318
5.123006,4.79,2.616204
5.132423,4.55,2.510011
5.34902,4.76,2.52932
5.914058,5.4,2.703089
5.688043,5.02,2.577589
5.085336,4.5,2.355549
5.301934,4.48,2.442434
5.565618,4.86,2.510011
6.074151,5.28,2.732051
6.25308,5.29,2.867205
6.535599,5.86,3.031322
6.271915,5.47,2.934783
6.507346,5.7,2.992706
6.959378,6.56,3.340246
7.072385,6.76,3.494709
6.592103,6.05,3.253361
6.855788,6.56,3.57194
6.855788,6.47,3.678132
6.893456,6.45,3.832594
6.413175,5.87,3.456092
7.637421,6.63,4.035326
7.204227,6.18,4.209096
7.533832,6.39,4.633868
7.420825,6.42,4.672482
6.35667,5.5,3.861556
5.725712,5.05,3.707094
5.857554,5.18,3.851902
5.810467,4.92,3.658824
6.0459,5.16,3.87121
6.610937,5.61,4.421481
7.091219,6.22,4.778676
6.902873,6.02,4.826944
6.573268,5.57,3.832594
6.554433,5.57,3.562286
6.507346,5.51,3.620209
6.243663,5.25,3.291976
5.970562,4.83,2.876859
5.998813,4.92,3.050629
5.961144,4.76,2.934783
6.384923,5.1,3.050629
6.215411,5.14,2.992706
